Timestamp,Best Ask,Best Bid,Mid Price
0,71362,71348,71355.0
100,71355,71344,71349.5
200,71350,71344,71347.0
300,71356,71345,71350.5
400,71347,71336,71341.5
500,71349,71338,71343.5
600,71354,71343,71348.5
700,71353,71346,71349.5
800,71356,71343,71349.5
900,71352,71341,71346.5
1000,71360,71349,71354.5
1100,71364,71353,71358.5
1200,71349,71338,71343.5
1300,71360,71349,71354.5
1400,71353,71342,71347.5
1500,71358,71347,71352.5
1600,71362,71351,71356.5
1700,71361,71348,71354.5
1800,71373,71362,71367.5
1900,71384,71378,71381.0
2000,71380,71369,71374.5
2100,71362,71349,71355.5
2200,71344,71333,71338.5
2300,71346,71335,71340.5
2400,71351,71340,71345.5
2500,71362,71351,71356.5
2600,71372,71359,71365.5
2700,71355,71344,71349.5
2800,71350,71337,71343.5
2900,71353,71342,71347.5
3000,71341,71330,71335.5
3100,71343,71332,71337.5
3200,71340,71330,71335.0
3300,71338,71327,71332.5
3400,71331,71320,71325.5
3500,71341,71329,71335.0
3600,71332,71319,71325.5
3700,71336,71325,71330.5
3800,71340,71339,71339.5
3900,71340,71333,71336.5
4000,71338,71327,71332.5
4100,71322,71311,71316.5
4200,71309,71298,71303.5
4300,71292,71281,71286.5
4400,71300,71289,71294.5
4500,71304,71291,71297.5
4600,71312,71307,71309.5
4700,71315,71304,71309.5
4800,71316,71305,71310.5
4900,71313,71300,71306.5
5000,71317,71306,71311.5
5100,71324,71317,71320.5
5200,71312,71301,71306.5
5300,71303,71290,71296.5
5400,71302,71289,71295.5
5500,71305,71294,71299.5
5600,71309,71298,71303.5
5700,71321,71310,71315.5
5800,71316,71303,71309.5
5900,71320,71309,71314.5
6000,71309,71304,71306.5
6100,71318,71307,71312.5
6200,71321,71310,71315.5
6300,71323,71317,71320.0
6400,71334,71320,71327.0
6500,71322,71309,71315.5
6600,71324,71313,71318.5
6700,71335,71330,71332.5
6800,71347,71336,71341.5
6900,71339,71326,71332.5
7000,71333,71322,71327.5
